country,continent,bmi,population,lifeexp_female,life_expectancy,che_gdp_pct,gdp,status,gdp_mil,pop_mil,gdp_per_cap
Saint Lucia,North America,29.8,179126,78.2,75.4,4.8,1659110888.89,Developing,1659.11088889,0.179126,9262.256115192658
Saint Vincent and the Grenadines,North America,27.1,109148,75.1,72.3,4.3,755400000,Developing,755.4,0.109148,6920.87807380804
Samoa,Oceania,31.8,193513,78.2,74.8,5.7,788307314.85,Developing,788.30731485,0.193513,4073.6659286456206
San Marino,Europe,NA,33272,NA,NA,7.4,1523012088.28,Developing,1523.01208828,0.033272,45774.587890117815
Sao Tome and Principe,Africa,24.4,199432,70.5,68.5,5.4,318265835.26,Developing,318.26583526,0.199432,1595.8614227405833
Saudi Arabia,Asia,28.4,31717667,76.3,74.6,6,654269902880,Developing,654269.90288,31.717667,20627.932782067484
Senegal,Africa,22.5,14578459,68.3,66.4,4.4,17767704596.93,Developing,17767.70459693,14.578459,1218.764246408348
Serbia,Europe,26.5,7095383,78.5,75.9,8.8,39628550868.75,Developing,39628.55086875,7.095383,5585.117937784331
Seychelles,Africa,26.9,93419,77.8,73.1,4.6,1377495054.04,Developing,1377.49505404,0.093419,14745.341462015222
Sierra Leone,Africa,22.7,7171914,52,51.4,20.4,4218723875.14,Developing,4218.72387514,7.171914,588.2284527031417
Singapore,Asia,23.8,5535002,84.8,82.7,4.2,308004146057.61,Developing,308004.14605761,5.535002,55646.618746950764
Slovakia,Europe,26.9,5423801,80.6,77.1,6.8,88457167724.28,Developed,88457.16772427999,5.423801,16309.07323559253
Slovenia,Europe,26.9,2063531,83.5,80.6,8.5,43090173061.97,Developed,43090.17306197,2.063531,20881.76676869405
Solomon Islands,Oceania,26.1,603118,72.4,70.9,5.2,1154650068.86,Developing,1154.65006886,0.603118,1914.4679297583555
Somalia,Africa,22.8,13797201,57.1,55.6,NA,4048860871.41,Developing,4048.86087141,13.797201,293.4552356967185
South Africa,Africa,27,55386367,66.7,63.3,8.2,317620522794.83,Developing,317620.52279483003,55.386367,5734.633629153363
South Sudan,Africa,NA,10715658,59.1,58.2,NA,11997800751.06,Developing,11997.80075106,10.715658,1119.65133182302
Spain,Europe,26.6,46444832,85.4,82.7,9.1,1195119269971.52,Developed,1195119.26997152,46.444832,25732.018364745512
Sri Lanka,Asia,23.1,20970000,78.3,75.2,3.9,80604080688.58,Developing,80604.08068858,20.97,3843.78067184454
Sudan (former),Africa,24.3,38902950,66.6,64.8,7.2,96741742021.67,Developing,96741.74202167,38.90295,2486.7456586626463
Suriname,South America,26.5,559143,74.8,71.6,6.2,4787367928.12,Developing,4787.36792812,0.559143,8561.974178555396
Sweden,Europe,26.3,9799186,84,82.1,11,503650641896.13,Developed,503650.64189613,9.799186,51397.19175614485
Switzerland,Europe,25.7,8282396,84.9,83,11.9,679832391757.54,Developed,679832.39175754,8.282396,82081.60920554149
Syrian Arab Republic,Asia,27.7,17997408,68.3,63,NA,NA,Developing,NA,17.997408,NA
Tajikistan,Asia,25.4,8454028,72.8,70.6,6.9,7854602391.65,Developing,7854.60239165,8.454028,929.0958572233259
Thailand,Asia,24.5,68714511,79.1,75.3,3.7,401295970240.34,Developing,401295.97024034004,68.714511,5840.046947875974
Timor-Leste,Asia,21,1196302,70.1,68.3,3.5,3092624800,Developing,3092.6248,1.196302,2585.153915984425
Togo,Africa,23.3,7323158,61.1,60.2,6.2,4179185205.16,Developing,4179.18520516,7.323158,570.680737075453
Tonga,Oceania,31.8,100781,76.2,73.3,4.7,435438217.28,Developing,435.43821727999995,0.100781,4320.63799009734
Trinidad and Tobago,North America,27.7,1370328,75.4,71.7,6,25062893969.33,Developing,25062.89396933,1.370328,18289.704340369608
Tunisia,Africa,26.3,11179949,77.8,75.8,7,43173480831.97,Developing,43173.48083197,11.179949,3861.688531134623
Turkey,Europe/Asia,27.8,78529409,79.2,76.1,4.1,859796872677.61,Developing,859796.87267761,78.529409,10948.72460682354
Turkmenistan,Asia,26.1,5565287,71.3,67.8,6.3,35799714285.71,Developing,35799.71428571,5.565287,6432.680701949423
